Year,Geography,Pattype,Category,Cat_value,Dxgroup,Count,Total,Percent
2021,Statewide,ED Visit,Age,40 to 59,Co-Occuring Disorders,67169,2719939,0.024695039
2021,Statewide,ED Visit,Age,40 to 59,Mental Health Disorders,254392,2719939,0.093528568
2021,Statewide,ED Visit,Age,40 to 59,Substance Use Disorders,159030,2719939,0.058468223
2021,Statewide,ED Visit,Age,60+,All Other Diagnoses,2227030,2546132,0.874671855
2021,Statewide,ED Visit,Age,60+,Co-Occuring Disorders,23097,2546132,0.009071407
2021,Statewide,ED Visit,Age,60+,Mental Health Disorders,226509,2546132,0.088962002
2021,Statewide,ED Visit,Age,60+,Substance Use Disorders,69496,2546132,0.027294736
2021,Statewide,ED Visit,MH Category,All MBD Discharges,Mood disorders,473740,,
2021,Statewide,ED Visit,MH Category,All MBD Discharges,Anxiety disorders,526597,,
2021,Statewide,ED Visit,MH Category,All MBD Discharges,Adjustment disorders,78049,,
2021,Statewide,ED Visit,MH Category,All MBD Discharges,"Intentional self-harm, suicidal ideation, and suicide attempts",140421,,
2021,Statewide,ED Visit,MH Category,All MBD Discharges,Schizophrenia and other psychotic disorders,201296,,
2021,Statewide,ED Visit,MH Category,All MBD Discharges,Personality disorders,12563,,
2021,Statewide,ED Visit,MH Category,All MBD Discharges,Impulse control disorders not elsewhere classified,11093,,
2021,Statewide,ED Visit,MH Category,All MBD Discharges,Miscellaneous mental health conditions,34646,,
2021,Statewide,ED Visit,MH Category,All MBD Discharges,Alcohol-related disorders,281362,,
2021,Statewide,ED Visit,MH Category,All MBD Discharges,Cannabis-related disorders,133605,,
2021,Statewide,ED Visit,MH Category,All MBD Discharges,Opioid-related disorders,87658,,
2021,Statewide,ED Visit,MH Category,All MBD Discharges,Stimulant-related disorders,180779,,
2021,Statewide,ED Visit,MH Category,All MBD Discharges,Sedative-related disorders,11646,,
2021,Statewide,ED Visit,MH Category,All MBD Discharges,Hallucinogen-related disorders,5029,,
2021,Statewide,ED Visit,MH Category,All MBD Discharges,Miscellaneous substance-related disorders,60650,,
2022,Statewide,Inpatient,DX Category,All Discharges,All Other Diagnoses,2560307,3603421,0.710521196
2022,Statewide,Inpatient,DX Category,All Discharges,Co-Occuring Disorders,235768,3603421,0.065428935
2022,Statewide,Inpatient,DX Category,All Discharges,Mental Health Disorders,558346,3603421,0.154948867
2022,Statewide,Inpatient,DX Category,All Discharges,Substance Use Disorders,249000,3603421,0.069101002
2022,Statewide,Inpatient,Sex,Female,All Other Diagnoses,1441930,1967212,0.732981499
2022,Statewide,Inpatient,Sex,Female,Co-Occuring Disorders,98833,1967212,0.050240137
2022,Statewide,Inpatient,Sex,Female,Mental Health Disorders,354885,1967212,0.180399977
